date,area,slot,code,name,cost_per_person,ticketed,tags,transit
2026-09-18,Harborport,Morning,HP-MKT,Old Quay Market,0,no,"food;pescatarian","Walk 8 minutes from Tideglass Inn"
2026-09-18,Harborport,Morning,HP-QUAY,Quayside Heritage Loop,0,no,"outdoors;history","Walk 6 minutes from Tideglass Inn"
2026-09-18,Harborport,Afternoon,HP-GARDEN,Coastal Botanic Conservatory,14,yes,"garden;indoor","Take bus 4 for 12 minutes"
2026-09-18,Harborport,Afternoon,HP-WORKSHOP,Harbor Print Workshop,16,yes,"art;indoor","Walk 11 minutes from Old Quay"
2026-09-18,Harborport,Evening,HP-PROM,Gaslamp Promenade,0,no,"outdoors","Walk 9 minutes from the conservatory bus stop"
2026-09-18,Harborport,Evening,HP-PIER,South Pier String Lights,0,no,"outdoors","Take tram A for 7 minutes"
2026-09-19,Harborport,Morning,HP-LIGHT,Beacon Point Lighthouse Walk,12,yes,"lighthouse;outdoors","Take bus 2 for 18 minutes"
2026-09-19,Harborport,Morning,HP-PARK,East Headland Park,0,no,"outdoors","Take bus 2 for 15 minutes"
2026-09-19,Harborport,Afternoon,HP-ART,Harborport Art Museum,18,yes,"museum;art;indoor","Take tram A for 10 minutes"
2026-09-19,Harborport,Afternoon,HP-MARITIME,Harborport Maritime Museum,15,yes,"museum;history;indoor","Walk 7 minutes from Central Quay"
2026-09-19,Harborport,Evening,HP-JAZZ,Dockside Jazz Room,22,yes,"music;indoor","Walk 5 minutes from Harborport Art Museum"
2026-09-19,Harborport,Evening,HP-BOARDWALK,West Basin Boardwalk,0,no,"outdoors","Take tram A for 8 minutes"
2026-09-20,Cedar Island,Morning,CI-ARRIVAL,Cedar Island Ferry and Village Loop,0,no,"ferry;outdoors","Walk 10 minutes from Cedar Island ferry pier"
2026-09-20,Cedar Island,Afternoon,CI-BOARDWALK,Cedar Head Boardwalk,8,yes,"nature;outdoors","Take island shuttle for 14 minutes"
2026-09-20,Cedar Island,Afternoon,CI-STUDIO,Island Weavers Studio,11,yes,"craft;indoor","Walk 9 minutes from Cedar Village"
2026-09-20,Cedar Island,Evening,CI-WHARF,Cedar Wharf Supper Window,0,no,"food;pescatarian","Walk 6 minutes to the return ferry pier"
2026-09-20,Cedar Island,Evening,CI-COVE,Sunset Cove Lookout,0,no,"outdoors","Take island shuttle for 9 minutes"
2026-09-20,Northshore,Morning,NS-ARRIVAL,Northshore Ferry and Bluff Loop,0,no,"ferry;outdoors","Walk 12 minutes from Northshore ferry pier"
2026-09-20,Northshore,Afternoon,NS-FORT,Northshore Hill Fort,9,yes,"history;outdoors","Take route 6 bus for 16 minutes"
2026-09-20,Northshore,Evening,NS-HARBOR,Northshore Harbor Supper Stop,0,no,"food;pescatarian","Walk 5 minutes to the return ferry pier"
2026-09-21,Harborport,Morning,HP-ROPE,Ropewalk Studio Demonstration,10,yes,"craft;indoor","Take tram A for 9 minutes"
2026-09-21,Harborport,Morning,HP-CAFE,Harbor Bakehouse Breakfast,0,no,"food;pescatarian","Walk 4 minutes from Tideglass Inn"
2026-09-21,Harborport,Afternoon,HP-ARCH,Harbor Steps Architecture Stroll,0,no,"architecture;outdoors","Walk 8 minutes from the Ropewalk"
2026-09-21,Harborport,Afternoon,HP-RAIL,Union Station Gallery,7,yes,"art;indoor","Take tram A for 6 minutes"
2026-09-21,Harborport,Evening,HP-STATION,Station Square Early Supper and Departure Buffer,0,no,"food;pescatarian;departure","Walk 3 minutes to Union Station"
2026-09-21,Harborport,Evening,HP-SQUARE,Station Square Departure Buffer,0,no,"departure","Walk 3 minutes to Union Station"
