listing_id,property_name,street_address,neighborhood,bedrooms,base_rent,available_on,lease_terms_months,cats_allowed,laundry,parking_type,parking_monthly,parking_required,balcony,application_fee,contact_phone,contact_email,verified_on
CHI-26-104,Meridian Lofts,4550 N Winchester Ave,Ravenswood,2,2675,2026-09-10,12|15,yes,in_unit,garage,150,no,yes,59,312-555-0104,leasing104@example.com,2026-08-12
CHI-26-118,Birchline Court,2219 W Eastwood Ave,Lincoln Square,2,2475,2026-09-01,12|18,yes,in_unit,covered,125,yes,no,49,312-555-0118,leasing118@example.com,2026-08-12
CHI-26-127,Cedar Works,4728 N Kenmore Ave,Uptown,2,2595,2026-09-05,12,yes,in_unit,covered,105,yes,yes,69,312-555-0127,leasing127@example.com,2026-08-12
CHI-26-133,Aster Row,4851 N Kimball Ave,Albany Park,2,2700,2026-08-28,12,yes,in_unit,street,0,no,no,54,312-555-0133,leasing133@example.com,2026-08-12
CHI-26-141,Lakeshore Place,3440 N Lake Shore Dr,Lake View,2,2550,2026-09-03,12,yes,in_unit,garage,0,no,yes,64,312-555-0141,leasing141@example.com,2026-08-12
CHI-26-152,Damen Gardens,4641 N Damen Ave,Ravenswood,2,2410,2026-09-01,12,yes,shared,lot,100,no,yes,52,312-555-0152,leasing152@example.com,2026-08-12
CHI-26-166,Juniper House,4555 N Lincoln Ave,Lincoln Square,2,2500,2026-08-30,12,no,in_unit,covered,110,yes,yes,57,312-555-0166,leasing166@example.com,2026-08-12
CHI-26-174,Archer Terrace,3001 W Lawrence Ave,Albany Park,2,2350,2026-10-01,12,yes,in_unit,street,0,no,yes,47,312-555-0174,leasing174@example.com,2026-08-12
CHI-26-189,Maple Row,1120 W Montrose Ave,Uptown,2,2295,2026-09-01,10,yes,in_unit,garage,135,no,no,61,312-555-0189,leasing189@example.com,2026-08-12
CHI-26-197,Wilton Place,3900 N Wilton Ave,Lake View,1,2190,2026-09-01,12,yes,in_unit,garage,175,no,yes,58,312-555-0197,leasing197@example.com,2026-08-12
