listing_id,destination,departure_window,minutes,source_note
CHI-26-104,Clark/Lake,weekday 08:30,22,archived trip-planner median
CHI-26-118,Clark/Lake,weekday 08:30,26,archived trip-planner median
CHI-26-127,Clark/Lake,weekday 08:30,26,archived trip-planner median
CHI-26-133,Clark/Lake,weekday 08:30,26,archived trip-planner median
CHI-26-141,Clark/Lake,weekday 08:30,38,archived trip-planner median
CHI-26-152,Clark/Lake,weekday 08:30,24,archived trip-planner median
CHI-26-166,Clark/Lake,weekday 08:30,25,archived trip-planner median
CHI-26-174,Clark/Lake,weekday 08:30,34,archived trip-planner median
CHI-26-189,Clark/Lake,weekday 08:30,27,archived trip-planner median
CHI-26-197,Clark/Lake,weekday 08:30,21,archived trip-planner median
