listing_id,destination,weekday_arrival,transit_minutes,route
ALD-104,Bayview Medical Center,08:30,32,Route M2 then B Line
ALD-207,Bayview Medical Center,08:30,29,Harbor Tram then Route 6
ALD-318,Bayview Medical Center,08:30,24,Foundry Shuttle then B Line
ALD-422,Bayview Medical Center,08:30,22,Route M1 direct
ALD-533,Bayview Medical Center,08:30,19,Harbor Tram direct
ALD-641,Bayview Medical Center,08:30,28,Route M2 then B Line
ALD-756,Bayview Medical Center,08:30,41,Route 8 then two transfers
ALD-863,Bayview Medical Center,08:30,26,Canal Bus then B Line
ALD-974,Bayview Medical Center,08:30,20,Juniper Express direct
ALD-985,Bayview Medical Center,08:30,25,Route 6 direct
