store_code,store_name,hub,sku,item,on_hand,par,case_pack,unit_cost
N01,Alder Market,North Hub,TEA-12,Cedar Black Tea,18,30,6,4.25
N01,Alder Market,North Hub,OAT-01,Rolled Oats,9,20,5,3.20
N01,Alder Market,North Hub,SOAP-7,Unscented Soap,24,24,8,5.10
N01,Alder Market,North Hub,COF-2,Harbor Roast Coffee,5,18,6,7.50
N02,Birch Corner,North Hub,TEA-12,Cedar Black Tea,10,28,6,4.25
N02,Birch Corner,North Hub,OAT-01,Rolled Oats,20,20,5,3.20
N02,Birch Corner,North Hub,BEAN-4,Navy Beans,7,19,4,2.75
N03,Cedar Square,North Hub,TEA-12,Cedar Black Tea,7,22,6,4.25
N03,Cedar Square,North Hub,BEAN-4,Navy Beans,14,25,4,2.75
N03,Cedar Square,North Hub,PASTA-9,Rigatoni,30,27,6,3.60
N03,Cedar Square,North Hub,SOAP-7,Unscented Soap,3,19,8,5.10
S01,Delta Point,South Hub,RICE-3,Brown Rice,8,26,6,3.85
S01,Delta Point,South Hub,BEAN-4,Navy Beans,12,24,4,2.75
