date,slot,code,start_time,name,cost_per_person,ticketed,tags,transit
2026-10-09,Morning,AB-OCT9-QUAY,09:30,Old Quay Facades Walk,0,no,architecture;outdoors,Walk 6 minutes from Juniper House
2026-10-09,Afternoon,AB-OCT9-GLASS,13:30,Sea Glass Studio,12,yes,craft;indoor,Take bus 3 for 11 minutes
2026-10-09,Evening,AB-OCT9-PROM,18:00,South Pier Promenade,0,no,low-key;outdoors,Walk 8 minutes from the studio bus stop
2026-10-10,Morning,AB-OCT10-BEACON,09:45,West Beacon Row Walk,7,yes,architecture;outdoors,Take bus 2 for 16 minutes
2026-10-10,Afternoon,AB-OCT10-HISTORY,13:30,Alder Bay History Museum,15,yes,museum;indoor,Take tram A for 9 minutes
2026-10-10,Evening,AB-OCT10-COURT,18:00,Harbor Court Supper Stop,0,no,food;vegetarian;low-key,Walk 5 minutes from the museum
2026-10-11,Morning,AB-OCT11-ROPE,09:30,Old Ropewalk Demonstration,9,yes,craft;indoor,Take tram A for 8 minutes
2026-10-11,Afternoon,AB-OCT11-MARSH,13:45,Willow Marsh Boardwalk,0,no,nature;outdoors,Take bus 5 for 14 minutes
2026-10-11,Evening,AB-OCT11-STATION,17:30,Station Garden Departure Break,0,no,food;vegetarian;low-key;departure,Walk 4 minutes to Alder Bay Station
2026-10-16,Morning,AB-QUAY,09:30,Old Quay Architecture Walk,0,no,architecture;outdoors,Walk 7 minutes from Juniper House
2026-10-16,Morning,AB-MARKET,10:00,Foundry Market Breakfast,0,no,food;vegetarian;low-key,Walk 5 minutes from Juniper House
2026-10-16,Afternoon,AB-GARDEN,13:30,Saltmarsh Conservatory,14,yes,garden;indoor,Take bus 4 for 12 minutes
2026-10-16,Afternoon,AB-PRINT,14:00,Quayside Print Workshop,16,yes,art;indoor,Walk 10 minutes from Old Quay
2026-10-16,Evening,AB-PROM,18:00,Lantern Promenade,0,no,low-key;outdoors,Walk 9 minutes from the conservatory bus stop
2026-10-16,Evening,AB-JAZZ,19:30,Foundry Jazz Hall,22,yes,music;indoor,Take tram A for 7 minutes
2026-10-17,Morning,AB-LIGHT,09:30,East Beacon Architecture Loop,8,yes,architecture;outdoors,Take bus 2 for 18 minutes
2026-10-17,Morning,AB-PARK,10:00,Headland Garden Ramble,0,no,garden;outdoors,Take bus 2 for 15 minutes
2026-10-17,Afternoon,AB-TEXTILE,13:30,Bay Textile Museum,16,yes,museum;indoor,Take tram A for 10 minutes
2026-10-17,Afternoon,AB-DESIGN,13:30,Harbor Design Museum,18,yes,museum;design;indoor,Take tram A for 10 minutes
2026-10-17,Evening,AB-CAFE,18:00,Courtyard Supper Stop,0,no,food;vegetarian;low-key,Walk 6 minutes from Harbor Design Museum
2026-10-17,Evening,AB-BOARDWALK,18:30,West Basin Boardwalk,0,no,low-key;outdoors,Take tram A for 8 minutes
2026-10-18,Morning,AB-ROPE,09:30,Ropeworks Demonstration,10,yes,craft;indoor,Take tram A for 9 minutes
2026-10-18,Morning,AB-BAKERY,09:45,Harbor Bakehouse Breakfast,0,no,food;vegetarian;low-key,Walk 4 minutes from Juniper House
2026-10-18,Afternoon,AB-REED,13:30,Reedbank Boardwalk,0,no,nature;outdoors,Take bus 5 for 13 minutes
2026-10-18,Afternoon,AB-GALLERY,14:00,Station Poster Gallery,7,yes,art;indoor,Take tram A for 6 minutes
2026-10-18,Evening,AB-STATION,17:30,Station Arcade Departure Break,0,no,food;vegetarian;low-key;departure,Walk 3 minutes to Alder Bay Station
2026-10-18,Evening,AB-SQUARE,18:00,Station Square Rest Stop,0,no,low-key;departure,Walk 3 minutes to Alder Bay Station
