program_code,cue_time,owner,action
ARR-01,08:40,Operations lead,Open the step-free foyer entrance and place large-print badges at both check-in tables
OPEN-01,09:25,Stage manager,Seat the host at the lectern and confirm the confidence monitor and live captions
KEY-RS,10:00,AV lead,Load the Resilient Systems title slide and confirm captions and hearing loop
KEY-CC,10:00,AV lead,Load the Community Capacity in Action title slide and confirm captions and hearing loop
KEY-CC-LOFT,10:00,AV lead,Load the Community Capacity Exchange title slide on the portable caption display
WORK-IR,11:10,Facilitation lead,Place tabletop packets on all eight cabaret pods and keep the wide aisle clear
WORK-AD,11:10,Facilitation lead,Set materials on all six workshop islands and test the height-adjustable tables
LUNCH-01,12:20,Catering captain,Receive Greenline Kitchen at the atrium north doors and place ingredient cards
PANEL-01,13:40,Stage manager,Seat four panelists and test the aisle microphone captions and hearing loop
CLOSE-RT,14:55,Facilitation lead,Reset Studio West to eight cabaret pods and place commitment cards
CLOSE-MIX,14:55,Hospitality lead,Open the quiet corner and check seating at the hosted mixer
