service_date,hub,route,store_code,store_name,delivery_window,receiving_point
2026-09-22,North Hub,Standard AM,N01,Alder Market,08:00–09:00,Dock A
2026-09-22,North Hub,Standard AM,N02,Birch Corner,09:15–10:15,Dock C
2026-09-22,North Hub,Standard AM,N03,Cedar Square,10:30–11:30,Receiving bay 2
2026-09-22,North Hub,Flex PM,N01,Alder Market,13:00–14:00,Dock A
2026-09-22,North Hub,Flex PM,N02,Birch Corner,14:15–15:15,Dock C
2026-09-22,North Hub,Flex PM,N03,Cedar Square,15:30–16:30,Receiving bay 2
2026-09-22,South Hub,Standard AM,S01,Delta Point,09:00–10:00,South receiving
2026-09-23,North Hub,Standard AM,N01,Alder Market,08:30–09:30,Dock A
2026-09-23,North Hub,Standard AM,N02,Birch Corner,09:45–10:45,Dock C
2026-09-23,North Hub,Standard AM,N03,Cedar Square,11:00–12:00,Receiving bay 2
