code,kind,title,start,end,room,capacity,track_or_format,setup,access,transition
ARR-01,arrival,Welcome Desk and Coffee,09:00,09:30,Foundry Foyer,120,all,Two check-in tables,Step-free entrance; large-print badges available,Opening begins in the adjacent hall
OPEN-01,opening,Host Welcome,09:30,09:50,Foundry Hall,100,all,Lectern + confidence monitor,Live captions,15-minute stage reset before keynote
KEY-RS,keynote,Resilient Systems in Practice,10:05,11:00,Foundry Hall,100,resilient-systems,Stage + two lounge chairs,Live captions; hearing loop,15-minute transfer to workshop
KEY-CC,keynote,Community Capacity in Action,10:05,11:00,Foundry Hall,100,community-capacity,Stage + lectern,Live captions; hearing loop,15-minute transfer to workshop
KEY-CC-LOFT,keynote,Community Capacity Exchange,10:05,11:00,North Loft,60,community-capacity,Low stage + lectern,Portable caption display,15-minute transfer to workshop
WORK-IR,workshop,Incident Response Tabletop,11:15,12:15,Studio West,84,incident-lab,Eight cabaret pods,Hearing loop; wide aisle seating,15-minute transfer to lunch
WORK-AD,workshop,Access by Design Lab,11:15,12:15,Studio West,84,accessibility-design,Six workshop islands,Hearing loop; height-adjustable tables,15-minute transfer to lunch
LUNCH-01,lunch,Hosted Lunch,12:30,13:30,Foundry Atrium,100,all,Ten rounds of eight,Reserved low table; ingredient cards,15-minute transfer to panel
PANEL-01,panel,Partner Lessons Panel,13:45,14:45,Foundry Hall,100,all,Stage + four chairs + aisle microphone,Live captions; hearing loop,15-minute transfer to closing
CLOSE-RT,closing,Facilitated Commitments Roundtable,15:00,16:15,Studio West,84,facilitator-led-roundtable,Eight cabaret pods,Hearing loop; wide aisle seating,Event concludes by 16:30
CLOSE-MIX,closing,Hosted Partner Mixer,15:00,16:15,Foundry Atrium,100,hosted-mixer,High-tops + six seated tables,Step-free room; quiet corner,Event concludes by 16:30
