at_ms	source	kind	message_id	ack_failures
0	17	malformed	-	0
1	17	malformed	-	0
2	17	malformed	-	0
3	17	malformed	-	0
4	17	malformed	-	0
5	17	malformed	-	0
6	17	malformed	-	0
7	17	malformed	-	0
8	17	malformed	-	0
9	17	malformed	-	0
10	17	malformed	-	0
11	17	malformed	-	0
12	17	malformed	-	0
13	17	malformed	-	0
14	17	malformed	-	0
15	17	malformed	-	0
16	17	malformed	-	0
17	17	malformed	-	0
18	17	malformed	-	0
19	17	malformed	-	0
20	17	malformed	-	0
21	17	malformed	-	0
22	17	malformed	-	0
23	17	malformed	-	0
24	17	malformed	-	0
25	17	malformed	-	0
26	17	malformed	-	0
27	17	malformed	-	0
28	17	malformed	-	0
29	17	malformed	-	0
30	17	malformed	-	0
31	17	malformed	-	0
32	17	malformed	-	0
33	17	malformed	-	0
34	17	malformed	-	0
35	17	malformed	-	0
36	17	malformed	-	0
37	17	malformed	-	0
38	17	malformed	-	0
39	17	malformed	-	0
40	17	malformed	-	0
41	17	malformed	-	0
42	17	malformed	-	0
43	17	malformed	-	0
44	17	malformed	-	0
45	17	malformed	-	0
46	17	malformed	-	0
47	17	malformed	-	0
48	17	malformed	-	0
49	17	malformed	-	0
50	17	malformed	-	0
51	17	malformed	-	0
52	17	malformed	-	0
53	17	malformed	-	0
54	17	malformed	-	0
55	17	malformed	-	0
56	17	malformed	-	0
57	17	malformed	-	0
58	17	malformed	-	0
59	17	malformed	-	0
60	17	malformed	-	0
61	17	malformed	-	0
62	17	malformed	-	0
63	17	malformed	-	0
64	17	malformed	-	0
65	17	malformed	-	0
66	17	malformed	-	0
67	17	malformed	-	0
68	17	malformed	-	0
69	17	malformed	-	0
70	17	malformed	-	0
71	17	malformed	-	0
72	17	malformed	-	0
73	17	malformed	-	0
74	17	malformed	-	0
75	17	malformed	-	0
76	17	malformed	-	0
77	17	malformed	-	0
78	17	malformed	-	0
79	17	malformed	-	0
80	17	malformed	-	0
81	17	malformed	-	0
82	17	malformed	-	0
83	17	malformed	-	0
84	17	malformed	-	0
85	17	malformed	-	0
86	17	malformed	-	0
87	17	malformed	-	0
88	17	malformed	-	0
89	17	malformed	-	0
90	17	malformed	-	0
91	17	malformed	-	0
92	17	malformed	-	0
93	17	malformed	-	0
94	17	malformed	-	0
95	17	malformed	-	0
96	17	malformed	-	0
97	17	malformed	-	0
98	17	malformed	-	0
99	17	malformed	-	0
100	17	malformed	-	0
101	17	malformed	-	0
102	17	malformed	-	0
103	17	malformed	-	0
104	17	malformed	-	0
105	17	malformed	-	0
106	17	malformed	-	0
107	17	malformed	-	0
108	17	malformed	-	0
109	17	malformed	-	0
110	17	malformed	-	0
111	17	malformed	-	0
112	17	malformed	-	0
113	17	malformed	-	0
114	17	malformed	-	0
115	17	malformed	-	0
116	17	malformed	-	0
117	17	malformed	-	0
118	17	malformed	-	0
119	17	malformed	-	0
120	17	malformed	-	0
121	17	malformed	-	0
122	17	malformed	-	0
123	17	malformed	-	0
124	17	malformed	-	0
125	17	malformed	-	0
126	17	malformed	-	0
127	17	malformed	-	0
