code,date,slot,start,name,district,step_free,kid_friendly,tags,ticketed,adult_price,child_price,transit,access_note
LK-ARCADE,2026-10-16,Morning,09:45,Riverside Produce Arcade,Quayside,yes,yes,indoor;market,no,0.00,0.00,Take tram T1 for 7 minutes,Level entrance through the east doors
LK-DAWN,2026-10-16,Morning,09:00,Dawn Bell Tower Walk,Old Town,yes,yes,outdoor,no,0.00,0.00,Walk 11 minutes from Juniper Station Hotel,Level route around the south side
LK-TEXTILE,2026-10-16,Afternoon,13:00,Larkspur Textile Museum,Mill Quarter,yes,yes,museum;indoor,yes,18.00,8.00,Take low-floor bus 6 for 12 minutes,Step-free entry and elevator to every gallery
LK-LOFT,2026-10-16,Afternoon,13:30,Mill Loft Print Studio,Mill Quarter,no,yes,indoor;workshop,yes,16.00,7.00,Take low-floor bus 6 for 12 minutes,Two flights of stairs with no elevator
LK-WILLOW,2026-10-16,Evening,18:00,Willow Kitchen Supper,Garden Ward,yes,yes,food;vegetarian;peanut-aware,no,0.00,0.00,Take tram T2 for 9 minutes,Level entrance and accessible restroom
LK-GRILL,2026-10-16,Evening,18:15,Foundry Vegetable Grill,Foundry Row,yes,yes,food;vegetarian,no,0.00,0.00,Take low-floor bus 3 for 8 minutes,Level entrance from Foundry Row
LK-GLASS,2026-10-17,Morning,09:45,Glasshouse Garden Workshop,Garden Ward,yes,yes,indoor;workshop,yes,14.00,7.00,Take tram T2 for 10 minutes,Step-free conservatory paths and workbench
LK-CYCLE,2026-10-17,Morning,10:00,Canal Family Cycle Tour,Canal Ward,no,yes,outdoor,yes,20.00,10.00,Take low-floor bus 8 for 14 minutes,Adaptive cycles available but boarding has three steps
LK-CANAL,2026-10-17,Afternoon,14:00,Larkspur Step-Free Canal Cruise,Canal Ward,yes,yes,outdoor;boat,yes,24.00,12.00,Take low-floor bus 8 for 11 minutes,Ramp boarding and accessible cabin
LK-MARITIME,2026-10-17,Afternoon,13:30,Canal Maritime Museum,Canal Ward,yes,yes,museum;indoor,yes,17.00,8.00,Take low-floor bus 8 for 11 minutes,Step-free entrance and lift to both floors
LK-PARK,2026-10-17,Afternoon,14:15,Maple Lock Discovery Trail,Canal Ward,yes,yes,outdoor,no,0.00,0.00,Take low-floor bus 8 for 9 minutes,Paved level loop with tactile markers
LK-LANTERN,2026-10-17,Evening,18:00,Lantern Harvest Table,Station Quarter,yes,yes,food;vegetarian;peanut-aware,no,0.00,0.00,Take tram T1 for 8 minutes,Level entrance and wide aisle seating
LK-BAKES,2026-10-17,Evening,17:45,Old Lock Bakery Supper,Canal Ward,yes,yes,food;vegetarian,no,0.00,0.00,Walk 7 minutes from the canal stop,Level entrance with a narrow interior aisle
LK-HILLCREST,2026-10-18,Morning,09:45,Hillcrest Lookout Tram Ride,Hillcrest,yes,yes,outdoor,yes,21.00,10.00,Take low-floor bus 2 for 16 minutes,Level boarding at the lower tram platform
LK-SCIENCE,2026-10-18,Afternoon,13:00,Larkspur Science Hall,University Ward,yes,yes,indoor,yes,19.00,9.00,Take tram T3 for 13 minutes,Step-free entrance and elevators throughout
LK-ORCHARD,2026-10-18,Evening,18:00,Orchard House Dinner,University Ward,yes,yes,food;vegetarian;peanut-aware,no,0.00,0.00,Take tram T3 for 10 minutes,Level entrance from the courtyard
