week,phase,code,title,duration_minutes,topic,capstone_format,offline_capable,screen_heavy,materials,evidence,tags,facilitator
1,Launch,W1-L01,"Notice Wonder Question",35,community-water,any,yes,no,"Observation photo cards","Inquiry question with three observations",question,"Dr. Mira Sol"
1,Launch,W1-L02,"Transit Notice Walk",35,community-transit,any,yes,no,"Street scene cards","Inquiry question with three observations",question,"Jon Bell"
1,Practice,W1-P01,"Map the Water Story",45,community-water,any,yes,no,"Local watershed map","Cause-and-effect map with two testable links",mapping,"Avery Chen"
1,Practice,W1-P02,"Digital Watershed Tour",45,community-water,any,no,yes,"Streaming tour","Cause-and-effect map with two testable links",mapping,"Rosa Vale"
1,Check,W1-C01,"Question Quality Sort",30,community-water,any,yes,no,"Question quality cards","Revised focused inquiry question",reflection,"Dr. Mira Sol"
2,Launch,W2-L01,"Library Source Trail",40,community-water,any,yes,no,"Library source trail log","Three-source trail with call numbers and access dates",library,"Jon Bell"
2,Launch,W2-L02,"Online Source Trail",40,community-water,any,no,yes,"Search portal","Three-source trail with links and access dates",library,"Avery Chen"
2,Practice,W2-P01,"Claim Evidence Match Lab",50,community-water,any,yes,no,"Printed evidence packet","Claim-evidence matches for four excerpts",analysis,"Rosa Vale"
2,Practice,W2-P02,"Air Quality Evidence Match",50,community-air,any,yes,no,"Printed air-quality packet","Claim-evidence matches for four excerpts",analysis,"Dr. Mira Sol"
2,Check,W2-C01,"Source Reliability Exit Ticket",25,community-water,any,yes,no,"Source reliability checklist","Reliability judgment for three sources",reflection,"Jon Bell"
3,Launch,W3-L01,"From Data to Claim",35,community-water,any,yes,no,"Claim frame","Draft claim supported by two data points",analysis,"Avery Chen"
3,Practice,W3-P01,"Counterclaim Workshop",45,community-water,any,yes,no,"Counterclaim cards","Response to one evidence-based counterclaim",analysis,"Rosa Vale"
3,Practice,W3-P02,"Extended Counterclaim Studio",55,community-water,any,yes,no,"Counterclaim cards","Response to two evidence-based counterclaims",analysis,"Dr. Mira Sol"
3,Check,W3-C01,"Evidence Swap Peer Review",40,community-water,any,yes,no,"Peer review guide","Two peer comments and one planned revision",peer-review,"Jon Bell"
4,Launch,W4-L01,"Audio Briefing Storyboard",35,community-water,audio,yes,no,"Audio storyboard","Timed storyboard with claim evidence and closing",planning,"Avery Chen"
4,Practice,W4-P01,"Record Listen Revise",50,community-water,audio,yes,yes,"Offline voice recorder","Three-minute audio draft plus revision log",production,"Rosa Vale"
4,Check,W4-C01,"Community Briefing Reflection",30,community-water,audio,yes,no,"Reflection sheet","Final audio briefing and reflection naming one peer-led revision",reflection,"Dr. Mira Sol"
4,Launch,W4-L02,"Poster Layout Storyboard",35,community-water,poster,yes,no,"Poster storyboard","One-page layout with claim evidence and closing",planning,"Jon Bell"
4,Practice,W4-P02,"Draft Print Revise",50,community-water,poster,yes,no,"Poster paper","One-page poster draft plus revision log",production,"Avery Chen"
4,Check,W4-C02,"Poster Gallery Reflection",30,community-water,poster,yes,no,"Gallery reflection sheet","Final poster and reflection naming one peer-led revision",reflection,"Rosa Vale"
