id,category,name,date,start,end,location,capacity,public_note,coordinator_cue,dietary,accessibility,transit,price_usd,staff_email,staff_phone,internal_vendor_note
VEN-JUNIPER,venue,Juniper House,2026-10-17,09:00,14:30,Juniper House,80,Please bring a reusable water bottle.,Post step-free entrance signs and reserve quiet seating.,,Step-free main entrance; all-gender accessible restroom; quiet room beside the Garden Room.,Route 6 stops at River Street one block from the venue; bike racks are at the main entrance.,850.00,renee@juniper.example,312-555-0142,Alarm code is 4418; do not circulate.
SEG-CHECK,fixed,Check-in and Coffee,2026-10-17,09:00,09:30,Welcome Hall,80,"Check-in opens at 09:00; coffee, tea, and oat milk are available.",Open two staffed check-in lanes by 08:50.,Vegetarian; vegan oat milk; gluten-free beverages,Step-free route from the main entrance.,Welcome Hall is inside the main entrance.,96.00,marco@harvest.example,312-555-0108,Keep the spare badge box under the west table.
SEG-WELCOME,fixed,Welcome and Volunteer Milestones,2026-10-17,09:30,10:00,Garden Room,60,The welcome celebrates this year’s volunteer milestones.,Stage the speaker at 09:25 and test the lectern microphone.,,Reserved wheelchair spaces in the front row.,Follow the step-free signs from Welcome Hall.,125.00,ava@harvest.example,312-555-0184,Speaker prefers the green-room door kept locked.
WS-CLAY,workshop,Community Clay Planters,2026-10-17,10:15,11:45,Studio A,52,Aprons are provided; wear clothes that can handle a little clay.,Set clay tools and water cups at all 12 tables.,,Seated activity; one height-adjustable table.,Studio A is across from the Garden Room.,325.00,clay@makers.example,312-555-0167,Vendor will collect unused clay through the loading dock.
WS-PRINT,workshop,Neighborhood Printmaking Lab,2026-10-17,10:15,11:45,Studio B,50,Aprons are provided; bring one simple black-and-white image idea.,Place ink trays and drying racks at all 12 tables.,,Seated or standing activity; two height-adjustable tables.,Studio B is beside the Dining Hall.,360.00,print@makers.example,312-555-0193,Use the service sink only for final roller cleanup.
WS-GARDEN,workshop,Pollinator Garden Build,2026-10-17,10:15,11:45,Courtyard,44,Closed-toe shoes are required.,Place soil tubs along the east wall.,,Outdoor route includes a two-inch threshold.,Enter the Courtyard through Studio A.,280.00,garden@makers.example,312-555-0119,Capacity cannot be raised because only 44 tool sets were packed.
LUNCH-GARDEN,lunch,Garden Table Buffet,2026-10-17,12:00,13:00,Dining Hall,60,Vegetarian buffet; vegan and gluten-free servings will be clearly labeled.,Set out 6 vegan and 4 gluten-free reserved meal cards.,Vegetarian; supports vegan and gluten-free meals,Two lowered buffet stations and wide aisles.,Dining Hall is beside Studio B.,912.00,meals@gardentable.example,312-555-0121,Vendor invoice includes a refundable chafing-dish deposit.
LUNCH-DELI,lunch,River Street Deli Lunch,2026-10-17,12:00,13:00,Dining Hall,65,Boxed deli lunch with vegetarian sides.,Stack boxes by surname at the south wall.,Contains meat; limited vegan selection,Wide aisles; no lowered service station.,Dining Hall is beside Studio B.,720.00,orders@riverdeli.example,312-555-0155,Turkey substitution cutoff is five days before service.
LUNCH-BISTRO,lunch,Juniper Bistro Bowls,2026-10-17,12:00,13:00,Bistro Annex,46,Vegetarian grain bowls with vegan choices.,Arrange bowls on the annex counter.,Vegetarian; supports vegan and gluten-free meals,Step-free annex entry; narrow counter lane.,Bistro Annex is across River Street.,840.00,bowls@juniperbistro.example,312-555-0176,Annex fire limit is fixed at 46 guests.
SEG-CIRCLE,fixed,Volunteer Appreciation Circle,2026-10-17,13:15,14:30,Garden Room,60,The closing circle includes gratitude cards and a group thank-you.,Set the gratitude-card basket at each table and open the north exit at 14:30.,,Reserved wheelchair spaces and quiet-room access remain available.,Follow the step-free signs to the Garden Room.,140.00,ava@harvest.example,312-555-0184,Leave completed cards in the locked office overnight.
