listing_id,property,neighborhood,bedrooms,bathrooms,available_date,monthly_rent,dogs_allowed,in_unit_laundry,outdoor_space,peak_transit_civic_center_min,peak_transit_harbor_tech_min,grocery_walk_min,parking_monthly,pet_rent_monthly,estimated_utilities_monthly,security_deposit,one_time_pet_fee,listing_note
L-101,Alder Loft,Riverbend,2,1,2026-10-01,2250,yes,yes,shared roof deck,28,42,7,100,40,155,1500,300,North-facing bedrooms; roof deck closes at 22:00
L-102,Beacon Flats,Beacon North,2,1.5,2026-10-10,2380,yes,yes,shared courtyard,34,31,4,120,35,160,1800,350,Courtyard-facing living room; bicycle storage included
L-103,Cedar Row,South Quay,3,2,2026-10-15,2520,yes,yes,small fenced yard,40,26,9,0,45,190,2520,250,End unit beside the community garden
L-104,Dune Court,West Market,2,1,2026-09-28,2180,yes,no,private balcony,22,24,3,90,25,145,1400,300,Laundry room is shared across the building
L-105,Elm Terrace,Old Harbor,2,2,2026-10-08,2310,no,yes,shared patio,31,18,8,110,0,170,1800,0,Cat-only pet policy in the listing packet
L-106,Foundry House,Foundry District,2,1,2026-10-05,2290,yes,yes,Juliet balcony,33,35,6,150,50,175,2290,300,East-edge building with the main bedroom facing the rail corridor
L-107,Garden Mews,Juniper Hills,1,1,2026-10-01,2050,yes,yes,private patio,29,27,11,75,30,135,1200,250,Ground-floor unit with three patio steps
L-108,Harbor Point,Old Harbor,2,2,2026-10-20,2410,yes,yes,private balcony,30,17,5,130,40,180,2000,300,Water-facing balcony and package lockers
L-109,Juniper Place,Juniper Hills,2,2,2026-09-25,2440,yes,yes,private patio,36,29,12,80,0,165,1200,250,Ground-floor unit; parking space is uncovered
L-110,Linden Yard,South Quay,3,2,2026-10-12,2600,yes,yes,shared garden,24,34,10,0,30,200,2000,400,Interior unit overlooking the shared garden
